link_id,road_order,weekday,07:00:00,07:15:00,07:30:00,07:45:00,08:00:00,08:15:00,08:30:00,08:45:00,09:00:00,09:15:00,09:30:00,09:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,11:45:00,12:00:00,12:15:00,12:30:00,12:45:00,13:00:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,15:00:00,15:15:00,15:30:00,15:45:00,16:00:00,16:15:00,16:30:00,16:45:00,17:00:00,17:15:00,17:30:00,17:45:00,18:00:00,18:15:00,18:30:00,18:45:00,19:00:00,19:15:00,19:30:00,19:45:00,20:00:00,20:15:00,20:30:00,20:45:00,21:00:00
137,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,7.0,15.0,24.0,32.0,40.0,45.0,47.0,47.0,44.0,38.0,30.0,21.0,12.0,5.0,0.0,0,0,0,0,0,0
137,37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,5.0,13.0,22.0,31.0,39.0,45.0,48.0,49.0,47.0,42.0,34.0,26.0,17.0,8.0,2.0,0,0,0,0,0,0
137,37,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,7.0,16.0,26.0,36.0,45.0,52.0,58.0,60.0,60.0,58.0,52.0,45.0,36.0,26.0,16.0,8.0,2.0,0,0,0,0,0,0
137,37,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,4.0,7.0,5.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,37,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,4.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,7.0,15.0,24.0,31.0,35.0,37.0,35.0,31.0,24.0,15.0,7.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0
139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,5.0,12.0,20.0,28.0,36.0,42.0,45.0,46.0,44.0,40.0,34.0,26.0,18.0,10.0,3.0,0.0,0,0,0,0,0,0,0,0,0
139,139,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,9.0,17.0,25.0,34.0,41.0,47.0,51.0,52.0,51.0,48.0,43.0,36.0,28.0,19.0,11.0,5.0,1.0,0,0,0,0,0,0
139,139,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,6.0,14.0,22.0,31.0,39.0,45.0,51.0,54.0,55.0,53.0,50.0,44.0,37.0,29.0,20.0,12.0,5.0,1.0,0,0,0,0,0,0,0
139,139,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,4.0,10.0,18.0,27.0,35.0,44.0,51.0,58.0,63.0,66.0,67.0,67.0,64.0,60.0,54.0,47.0,39.0,30.0,22.0,13.0,7.0,2.0,0.0,0,0,0,0,0
139,139,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,7.0,15.0,22.0,26.0,26.0,21.0,14.0,6.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,139,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,8.0,7.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
