,0700_0715,0715_0730,0730_0745,0745_0800,0800_0815,0815_0830,0830_0845,0845_0900,0900_0915,0915_0930,0930_0945,0945_1000,1000_1015,1015_1030,1030_1045,1045_1100,1100_1115,1115_1130,1130_1145,1145_1200,1200_1215,1215_1230,1230_1245,1245_1300,1300_1315,1315_1330,1330_1345,1345_1400,1400_1415,1415_1430,1430_1445,1445_1500,1500_1515,1515_1530,1530_1545,1545_1600,1600_1615,1615_1630,1630_1645,1645_1700,1700_1715,1715_1730,1730_1745,1745_1800,1800_1815,1815_1830,1830_1845,1845_1900,1900_1915,1915_1930,1930_1945,1945_2000,2000_2015,2015_2030,2030_2045,2045_2100
volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(78, '0700_2100', 0)",328.5182926829268,341.1890243902439,342.3375,325.4451219512195,304.7743902439024,305.1341463414634,315.6768292682927,304.0060975609756,300.7916666666667,315.6845238095238,324.73214285714283,322.3452380952381,313.4166666666667,319.1309523809524,326.9702380952381,336.42857142857144,336.17261904761904,342.30357142857144,349.625,352.64285714285717,354.6488095238095,364.0059523809524,370.94642857142856,358.6190476190476,363.5892857142857,383.9583333333333,387.48214285714283,371.76785714285717,363.76785714285717,362.375,349.875,338.17857142857144,324.35714285714283,298.17857142857144,285.6845238095238,275.2142857142857,257.3452380952381,250.375,247.0654761904762,236.75595238095238,228.92261904761904,217.9047619047619,222.42073170731706,234.3780487804878,249.60119047619048,273.5357142857143,285.0297619047619,298.7083333333333,293.2317073170732,311.1707317073171,297.3353658536585,279.7134146341463,260.25,268.4345238095238,242.96428571428572,236.32738095238096
"(78, '0700_2100', 1)",333.1510416666667,346.7239583333333,352.5729166666667,344.5104166666667,308.1145833333333,309.7552083333333,318.1979166666667,309.7083333333333,310.4322916666667,312.640625,324.0260416666667,318.5208333333333,315.21875,312.9375,326.734375,328.8385416666667,337.0380434782609,331.9947916666667,341.6510416666667,347.6822916666667,354.5677083333333,368.8229166666667,368.3385416666667,367.546875,365.625,373.2447916666667,376.84375,366.3489583333333,357.2760416666667,353.0729166666667,342.6666666666667,327.5104166666667,309.9739583333333,285.8072916666667,281.15625,270.6010638297872,258.9148936170213,234.72395833333334,235.13020833333334,223.52604166666666,214.625,212.55729166666666,212.0159574468085,207.63020833333334,224.04166666666666,243.390625,269.4375,291.1041666666667,291.6354166666667,306.015625,302.359375,286.5104166666667,273.6614583333333,283.6875,262.25531914893617,256.15425531914894
"(78, '0700_2100', 2)",327.6275510204082,342.7551020408163,351.16326530612247,337.31632653061223,306.234693877551,304.10714285714283,316.67857142857144,308.71938775510205,312.3645833333333,317.781914893617,319.015625,317.3177083333333,269.8244680851064,317.36170212765956,328.828125,331.3125,330.515625,332.5459183673469,339.92857142857144,346.66326530612247,354.19897959183675,358.8265306122449,355.5816326530612,353.9183673469388,363.8112244897959,366.9114583333333,370.6666666666667,359.78061224489795,350.56632653061223,343.4795918367347,339.0885416666667,316.453125,298.2708333333333,281.8020833333333,272.01020408163265,262.5833333333333,248.53571428571428,235.578125,226.35204081632654,217.93367346938774,207.796875,202.90104166666666,202.9591836734694,219.5,237.82142857142858,254.17857142857142,270.6530612244898,290.53061224489795,304.92857142857144,313.83673469387753,306.26020408163265,301.53125,286.68367346938777,291.9795918367347,275.4387755102041,273.8112244897959
"(78, '0700_2100', 3)",336.7880434782609,349.77777777777777,351.9347826086956,345.8478260869565,309.3510638297872,317.11170212765956,317.9468085106383,307.8829787234043,309.22340425531917,307.1808510638298,320.4840425531915,317.0744680851064,315.41847826086956,316.00531914893617,330.4840425531915,333.9574468085106,335.0585106382979,343.79787234042556,347.140625,352.9479166666667,361.5989583333333,370.21875,366.484375,358.3385416666667,367.02127659574467,368.6770833333333,365.265625,354.3958333333333,349.7760416666667,328.4270833333333,330.5,308.4427083333333,294.5425531914894,265.890625,261.25531914893617,244.13829787234042,238.75520833333334,231.50520833333334,224.84375,220.11458333333334,217.65625,209.28125,211.79166666666666,219.17708333333334,231.92708333333334,244.86702127659575,262.03125,281.5104166666667,288.8958333333333,311.0,310.0625,296.6354166666667,285.0260416666667,294.4479166666667,277.8541666666667,264.59375
"(78, '0700_2100', 4)",330.2865853658537,336.17857142857144,349.25,335.7857142857143,309.9642857142857,314.79761904761904,319.6488095238095,313.7797619047619,304.9268292682927,317.1607142857143,326.9512195121951,330.32738095238096,337.5892857142857,345.4702380952381,352.2202380952381,353.36309523809524,349.8154761904762,364.7012195121951,369.640243902439,371.7621951219512,361.7682926829268,366.0731707317073,355.19642857142856,355.4583333333333,351.2797619047619,348.01190476190476,346.8333333333333,332.9345238095238,332.64285714285717,321.14285714285717,316.32738095238096,299.67857142857144,284.5416666666667,278.4634146341463,264.79761904761904,260.6524390243902,255.125,248.91071428571428,248.3154761904762,246.24404761904762,243.78571428571428,236.41666666666666,249.57142857142858,258.82142857142856,279.1607142857143,296.82738095238096,305.4702380952381,293.64285714285717,297.5914634146341,317.3475609756098,315.6646341463415,309.4390243902439,296.6463414634146,301.2560975609756,289.9817073170732,274.5426829268293
"(78, '0700_2100', 5)",200.63953488372093,223.47093023255815,256.4418604651163,251.72674418604652,239.09302325581396,255.2906976744186,273.04651162790697,274.4593023255814,269.24418604651163,281.75,303.1761363636364,305.6193181818182,301.53333333333336,311.8369565217391,328.1467391304348,327.16847826086956,324.9347826086956,339.30434782608694,336.2771739130435,341.6576086956522,348.2445652173913,357.6358695652174,359.66847826086956,358.3478260869565,354.0108695652174,366.1195652173913,361.44565217391306,360.7282608695652,355.5597826086956,361.8152173913044,366.7282608695652,362.9619565217391,366.8333333333333,368.9888888888889,363.43888888888887,349.99444444444447,342.6818181818182,353.3777777777778,348.04347826086956,342.64130434782606,344.41847826086956,348.1630434782609,338.3532608695652,337.5217391304348,332.5597826086956,328.6032608695652,322.58152173913044,320.08152173913044,314.50555555555553,306.3833333333333,307.4,292.43333333333334,286.34444444444443,283.1277777777778,268.6333333333333,264.55555555555554
"(78, '0700_2100', 6)",132.0625,147.79166666666666,171.42708333333334,170.78125,167.88020833333334,177.47395833333334,191.14583333333334,198.08333333333334,203.11458333333334,232.25520833333334,262.0677083333333,268.8802083333333,267.5885416666667,272.5208333333333,278.515306122449,285.2448979591837,287.83673469387753,295.68367346938777,311.11224489795916,317.05102040816325,323.6666666666667,323.535,330.865,330.75,324.905,338.3265306122449,349.16326530612247,345.56632653061223,341.9030612244898,337.865,339.685,343.085,331.155,338.175,334.97,338.18,330.02,339.8724489795918,343.5204081632653,329.6530612244898,322.85714285714283,322.48979591836735,316.3520408163265,307.31632653061223,305.1530612244898,318.13775510204084,308.39285714285717,297.67857142857144,286.68367346938777,285.96938775510205,281.5969387755102,270.4387755102041,264.7244897959184,267.60714285714283,254.9234693877551,245.58673469387756
"(84, '0700_2100', 0)",374.9583333333333,394.2083333333333,393.67261904761904,375.41279069767444,354.2151162790698,358.5581395348837,371.39285714285717,359.76785714285717,355.5952380952381,360.42261904761904,368.25,364.9047619047619,348.0238095238095,351.04651162790697,361.5755813953488,370.61046511627904,368.8255813953488,377.0406976744186,385.3720930232558,388.5988372093023,387.70348837209303,403.7093023255814,413.9825581395349,398.4244186046512,399.80232558139534,429.34302325581393,439.5,418.00581395348837,403.6046511627907,388.38953488372096,383.5406976744186,356.8809523809524,340.7083333333333,306.5059523809524,286.93023255813955,274.6686046511628,264.33720930232556,243.0,240.44767441860466,235.50581395348837,230.25,219.4360465116279,225.39880952380952,236.24404761904762,259.72093023255815,295.63953488372096,303.4244186046512,310.0,313.2202380952381,330.36309523809524,308.6607142857143,289.23809523809524,272.5232558139535,280.1453488372093,254.5872093023256,246.05232558139534
"(84, '0700_2100', 1)",374.99468085106383,391.81382978723406,394.57978723404256,388.72340425531917,354.99468085106383,358.5744680851064,364.3510638297872,362.02127659574467,360.2608695652174,360.2826086956522,371.45652173913044,362.1032608695652,347.1141304347826,351.3152173913044,358.3152173913044,358.9619565217391,367.3125,365.9728260869565,372.7391304347826,383.39130434782606,386.5326086956522,409.6630434782609,412.04347826086956,405.3097826086956,402.4673913043478,416.91847826086956,435.20108695652175,409.4673913043478,390.7717391304348,384.8695652173913,372.36170212765956,347.27659574468083,317.1170212765957,290.5691489361702,280.5744680851064,271.08152173913044,259.95108695652175,227.13829787234042,229.3031914893617,218.05851063829786,200.25531914893617,201.1755319148936,202.97282608695653,203.22340425531914,223.82978723404256,249.1968085106383,280.531914893617,302.968085106383,307.82978723404256,324.1968085106383,314.281914893617,292.04787234042556,283.968085106383,295.6276595744681,271.23369565217394,262.57065217391306
