weekday,assignment_period,0700_0715,0715_0730,0730_0745,0745_0800,0800_0815,0815_0830,0830_0845,0845_0900,0900_0915,0915_0930,0930_0945,0945_1000,1000_1015,1015_1030,1030_1045,1045_1100,1100_1115,1115_1130,1130_1145,1145_1200,1200_1215,1215_1230,1230_1245,1245_1300,1300_1315,1315_1330,1330_1345,1345_1400,1400_1415,1415_1430,1430_1445,1445_1500,1500_1515,1515_1530,1530_1545,1545_1600,1600_1615,1615_1630,1630_1645,1645_1700,1700_1715,1715_1730,1730_1745,1745_1800,1800_1815,1815_1830,1830_1845,1845_1900,1900_1915,1915_1930,1930_1945,1945_2000,2000_2015,2015_2030,2030_2045,2045_2100
0,0700_2100,66.20249835597633,65.42199211047337,65.20174029457831,65.20960784335294,65.19746732023529,64.82552287552942,64.47310979633136,64.8383957927219,64.98966861590644,65.6056524547093,65.69696382453489,65.64379844976744,66.12829457354651,66.03325305086706,66.10253693023121,65.82594733439306,65.91262042393063,65.87668593410405,65.72726396919074,65.33416827242775,64.6984906874393,64.00144508647399,63.95346820815029,63.27639691670521,63.080924855549135,62.497174052716765,61.38336544647399,55.41981374398844,52.71605651913294,48.55828516398844,45.8427745666474,40.86539215670589,36.13578431311765,30.98516339917647,29.003917790618498,26.425112395549135,25.13359023784393,22.566120744705202,21.586833654375724,21.189884393144506,23.102825947566476,22.569813744462426,22.22521367518935,25.503813280650885,33.23143866452601,40.08768465016185,47.7681117532948,56.59624277427745,62.87767973876471,64.45117647058824,65.722712418,66.26068627458824,66.61591200994219,66.72113037895953,66.82814707791907,67.06652215803469
1,0700_2100,65.83534798532968,65.0477106228022,64.6306166054945,64.86071428571428,64.53585164846153,64.43058608071429,64.03757631285714,64.0687118437912,64.00503376314917,63.920718232044194,64.04416820127072,64.30682934331492,64.89505831823205,65.68585021469613,65.35653775314917,65.45762737867403,65.70009523805714,65.5047268261326,65.58689379983426,65.37366482475139,65.02271332088398,64.11771025160222,63.858225905745854,63.79395061727777,63.68629629622222,62.393395061666666,60.31327160511111,53.966358024555554,52.67866789425415,48.2964088401105,45.1359279611923,39.051373626373625,33.757875457912085,29.45097680073077,27.443620268390106,23.759497207005587,21.97046296293889,19.219823922387977,18.329781420557378,17.31520947187978,16.060139647934427,15.257210078825135,15.398641975427777,17.15995749863388,21.274620522016395,26.346933818896176,34.50163934434973,44.32067395245902,55.45361262912568,60.17674559803278,64.05148755300547,65.96865513081967,66.24462659371585,66.40431086775956,66.61797839522222,66.72558641972222
2,0700_2100,65.71906028372341,64.87092886566137,64.2592298647619,64.27139917703704,64.34035861243386,63.988903585661376,63.64235743661375,64.01206140342106,64.23461081352941,64.92015786284153,64.87964943545454,65.06558229358288,65.5146630237705,65.56478445655738,65.5159239446524,65.43603683914439,65.64748960208557,65.33034979433863,64.90511695936841,64.36710526326316,64.35947368410525,63.293435672578944,61.720803782765955,61.36895685574468,61.48466312095744,59.58322879317205,57.00185185182795,52.07559941547369,50.34909356721053,46.02786549705263,42.35095579443011,36.85056750251075,32.38239734260869,26.647759856505374,26.210687134842107,21.909468339623654,20.06511695890526,17.685961768376345,15.813757309747368,14.394795321573685,13.520690690783784,13.008272946581522,13.276523297354839,15.536290322634407,22.355969267143617,27.48028959806383,35.16815898328192,44.92355200957447,54.41580969260638,58.82466016531915,61.61648936170213,63.06177956053476,64.1569590647,64.50361552037037,65.23353909433862,65.59322457375661
3,0700_2100,65.87340593431817,65.10224791277456,64.67694601401129,64.70809792853107,64.33432098744444,64.11888888883334,63.65577160488889,63.799074074055554,63.856898148,64.31395061761111,64.42023148161111,64.378703704,64.72683615802259,64.74860335223464,64.96087833664805,65.22110490391061,65.53430087359551,65.22029671681818,65.07609890115384,64.65006105005494,64.10865209453551,63.19228901016394,61.84417122043716,61.00303582256831,61.708690254469275,59.3811847760221,55.87710251674034,50.755831798453045,49.04739103712707,44.17774708436464,41.00365254756906,36.05216390410497,30.89033270577966,26.077102517314916,24.584931719441343,20.937554313877097,20.51490178059116,18.094766727950276,16.078606507138122,15.104665439055248,14.654297114878453,14.239165132121547,14.710497237563535,16.842633517359115,21.61823204418232,25.689232209297757,32.19828115425414,40.32527624303867,49.30098219751381,54.65425107436464,60.0766114177348,63.6629987721547,65.63344076121547,65.76092694872928,65.93284223458564,66.34788213640884
4,0700_2100,65.93821548800001,65.49525948053892,64.82228875556886,64.79556213047337,65.304569362071,65.39128862609466,65.12324735446428,65.22077580544378,65.51656686616766,65.5572320839645,65.19333333345455,65.48606180130177,65.832051282071,65.48951347757396,65.35880999343195,65.13287310988166,64.97920775804734,64.41326599315151,63.25760942781818,62.11602693551515,60.59643097690909,57.54717171703031,55.48931623952662,54.36969099254438,53.83948060485207,51.24953977656805,48.2752958582071,45.32069362272189,43.14033530568047,38.92659434568048,36.20986193272189,31.003122945739644,27.690959894674556,24.668114478018182,24.070381328360945,21.327407407248483,22.065499671053253,20.688050624449705,20.042143327142014,20.27784352391716,20.966107823686393,21.587902695739643,24.241617357065092,29.26153846154438,35.8341880339645,40.567061143964494,45.08445101911243,49.939616402101194,54.55691097728915,57.01278447108434,58.699330655903616,62.323058902108436,64.77931726909638,65.07144045263473,64.95958083784431,64.76443779094012
5,0700_2100,68.71582998668674,68.85049900203593,69.01613439784431,68.98260146359281,68.8358616102994,68.74753825646707,68.62964071880239,68.50901530233533,68.44251497017964,68.17465886947369,67.95227420391812,67.94359974,67.58907936531429,67.5306179774719,67.32200126289773,67.37707553073034,67.45502496853932,67.01547394836157,66.80725047067796,66.31434400542373,66.16475204045197,64.77612359539326,64.12334581758427,64.52762172264045,64.79157303415731,63.45109238455056,63.148938826348314,62.38024344561797,62.483348939044944,62.11582397016854,61.61370162280899,60.466245318146065,60.60801404833333,60.103799489137934,59.14318326977011,58.720194763505745,58.48918128672515,57.715485312948275,57.73857677910112,58.37419962333333,59.016478342768366,58.51516007553672,58.586707469830515,58.70233585829545,59.38443813125,59.208396464318184,59.634745762429375,61.44406779655367,63.92039177878613,65.0925818883815,65.56438664109827,66.04993577364162,66.24765574768786,66.15799614647399,66.17562620421965,66.20915221537572
6,0700_2100,69.00210573510752,69.1319444445699,69.27701612935485,69.39136798139785,69.03289007085105,69.00276292342245,69.08129432606383,69.20910165473404,69.282328605,69.06023936196809,69.08850472829788,68.94530141845745,68.78424940930852,68.77863475170213,68.45963541682292,67.97340856494792,68.10610532390625,68.06101036264249,67.65339666041451,67.20310880844559,66.73959435640211,66.46441060360407,66.51993795822335,66.1176818948731,66.20809362685279,65.18779504875647,64.60552677041451,65.13477259647668,66.56157167554404,66.60372250431472,66.253412295533,66.59613649233502,66.6453186690863,66.53231810477158,66.73780315827412,66.83635081771574,66.85850253786802,66.52639608476684,66.26563039735751,66.53658606787565,66.27947610823834,65.68229706378239,65.51024755290156,65.98285837637306,66.2305699480829,65.65523891751295,65.3730282092228,65.82668393797927,66.20025906709844,66.40731145632124,66.61361542917099,66.64291087963541,66.50797164333333,66.62092013864583,66.75953414354167,66.9869314911399
