link_id,assignment_period,weekday,FT,AT,length,lanes,period_link_volume,cd_mean_speed,congestion_duration_mean_flow_rate,demand,demand_over_capacity,t2,v_t2,qdf,free_flow_speed,critical_speed,cut_off_speed,ultimate_capacity,critical_density,flatness_of_curve,b_congestion_duration,period_mean_link_speed,period_mean_link_density,time_interval_in_min,tau_0,tau_3,road_order,max_speed,assignment_period_volume,cd_alpha,cd_beta,f_p,f_d,ss,nn,avg_demand,est_cd,est_vt2,est_mu,est_v_bar,error_cd,error_vt2,error_v_bar
78,0700_2100,0,78,0,1.04,4,17143.16667,28.0705054,1071.301197,4858.64881,3.062287839,17.5,13.95436508,0.284468951,69.625,55.89153571,48.7375,1586.607486,28.38725875,6.3096338,4.541666667,50.8962898,30.59278545,15,7,21,78,68.06666667,17143.16667,0.073537906,2.553553929,0.107215018,1.127300195,2.099496278,1.216269805,4858.64881,4.41408196,15.04430638,1109.058834,21.90455799,0.076663084,0.328004576,0.223456266
78,0700_2100,1,78,0,1.04,4,17048.9375,25.92483297,1035.516489,5094.197917,3.210748696,17.5,10.74340278,0.298262296,69.625,55.89153571,48.7375,1586.607486,28.38725875,6.3096338,4.90625,49.30457607,32.96920369,15,7,21,78,68.06666667,17048.9375,0.073537906,2.553553929,0.107215018,1.127300195,2.099496278,1.216269805,5094.197917,4.678549514,13.93304348,1099.516939,20.47813879,0.0786224,0.473085847,0.264390807
78,0700_2100,2,78,0,1.04,4,16833.73469,26.17774455,1042.802821,5426.392857,3.420123064,17.25,10.56156463,0.322260896,69.625,55.89153571,48.7375,1586.607486,28.38725875,6.3096338,5.183673469,48.49533437,33.4137716,15,7,21,78,68.06666667,16833.73469,0.073537906,2.553553929,0.107215018,1.127300195,2.099496278,1.216269805,5426.392857,5.054478547,12.55182358,1085.845306,18.70919249,0.075839009,0.350318506,0.328596792
78,0700_2100,3,78,0,1.04,4,16788.05729,25.85912513,1028.770333,5430.994792,3.423023551,17.25,11.584375,0.325266755,69.625,55.89153571,48.7375,1586.607486,28.38725875,6.3096338,5.28125,47.80648668,33.45283423,15,7,21,78,68.06666667,16788.05729,0.073537906,2.553553929,0.107215018,1.127300195,2.099496278,1.216269805,5430.994792,5.053215147,12.33590289,1082.961455,18.59944234,0.079404539,0.271830044,0.294062
78,0700_2100,4,78,0,1.04,4,17337.57143,31.11428359,1118.843517,6111.583333,3.851981909,16.75,18.06785714,0.353373185,69.625,55.89153571,48.7375,1586.607486,28.38725875,6.3096338,5.452380952,48.90513983,30.62863679,15,7,21,78,68.06666667,17337.57143,0.073537906,2.553553929,0.107215018,1.127300195,2.099496278,1.216269805,6111.583333,5.843849754,10.1989406,1057.314927,15.78251905,0.094243663,0.428507556,0.487745552
78,0700_2100,5,78,0,1.04,4,17593.57065,52.22936287,1314.884599,1950.016304,1.229047714,18.5,50.91539855,0.109840556,69.625,55.89153571,48.7375,1586.607486,28.38725875,6.3096338,0.989130435,61.20942945,21.35749011,15,7,21,78,68.06666667,17593.57065,0.073537906,2.553553929,0.107215018,1.127300195,2.099496278,1.216269805,2614.864583,1.538339804,38.95216748,1425.255952,41.80348737,inf,0.244624776,0.203114407
78,0700_2100,6,78,0,1.04,4,15705.43,57.78080694,1162.657667,1121.18,0.706652408,13.5,56.82883333,0.070539527,69.625,55.89153571,48.7375,1586.607486,28.38725875,6.3096338,0.185,63.63210819,18.15892972,15,7,21,78,68.06666667,15705.43,0.073537906,2.553553929,0.107215018,1.127300195,2.099496278,1.216269805,1165.1,0.75085617,45.70834513,1563.065187,47.05850865,inf,0.206648843,0.190098561
84,0700_2100,0,84,0,1.14,4,18623.54651,24.8491548,1115.043748,5045.697674,2.777664689,16.75,12.88449612,0.272092325,70,53.41220381,49,1816.525117,34.00955189,5.125766966,4.546511628,50.66631467,34.43959975,15,7,21,84,71.5,18623.54651,0.206168196,1.869736733,0.23183214,1.365322885,1.641946913,1.138731537,5045.697674,4.377211179,13.92942764,1156.637264,20.78539998,0.077859975,0.301963156,0.18690286
84,0700_2100,1,84,0,1.14,4,18210.27128,23.03732257,1057.168139,5280.930851,2.907160931,17.25,10.69734043,0.291255168,70,53.41220381,49,1816.525117,34.00955189,5.125766966,4.984042553,48.70277391,36.11675338,15,7,21,84,71.5,18210.27128,0.206168196,1.869736733,0.23183214,1.365322885,1.641946913,1.138731537,5280.930851,4.613654623,13.27520265,1150.679162,19.88631955,0.090268254,0.358147522,0.195077578
84,0700_2100,2,84,0,1.14,4,18056.87,23.21331782,1063.068966,5526.94,3.042589363,17.25,10.75233333,0.306003595,70,53.41220381,49,1816.525117,34.00955189,5.125766966,5.165,47.95266899,36.48559479,15,7,21,84,71.5,18056.87,0.206168196,1.869736733,0.23183214,1.365322885,1.641946913,1.138731537,5526.94,4.868266624,12.93084048,1146.231417,19.25757644,0.097310337,0.351415575,0.249715714
