link_id,road_order,weekday,07:00:00,07:15:00,07:30:00,07:45:00,08:00:00,08:15:00,08:30:00,08:45:00,09:00:00,09:15:00,09:30:00,09:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,11:45:00,12:00:00,12:15:00,12:30:00,12:45:00,13:00:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,15:00:00,15:15:00,15:30:00,15:45:00,16:00:00,16:15:00,16:30:00,16:45:00,17:00:00,17:15:00,17:30:00,17:45:00,18:00:00,18:15:00,18:30:00,18:45:00,19:00:00,19:15:00,19:30:00,19:45:00,20:00:00,20:15:00,20:30:00,20:45:00,21:00:00
78,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,8.0,17.0,26.0,36.0,45.0,51.0,56.0,57.0,56.0,51.0,45.0,36.0,26.0,17.0,8.0,2.0,0,0,0,0,0,0
78,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.0,12.0,21.0,32.0,42.0,51.0,57.0,62.0,63.0,62.0,57.0,51.0,42.0,32.0,21.0,12.0,4.0,0.0,0,0,0,0,0
78,78,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,10.0,19.0,30.0,42.0,52.0,61.0,68.0,72.0,73.0,72.0,68.0,61.0,52.0,42.0,30.0,19.0,10.0,3.0,0.0,0,0,0,0,0
78,78,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,11.0,20.0,31.0,43.0,53.0,62.0,69.0,73.0,74.0,73.0,69.0,62.0,53.0,43.0,31.0,20.0,11.0,3.0,0.0,0,0,0,0,0
78,78,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,7.0,16.0,27.0,40.0,53.0,65.0,76.0,85.0,92.0,96.0,97.0,96.0,92.0,85.0,76.0,65.0,53.0,40.0,27.0,16.0,7.0,1.0,0,0,0,0,0,0
78,78,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,5.0,7.0,5.0,2.0,0,0,0,0,0,0,0,0
78,78,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,9.0,20.0,32.0,44.0,55.0,64.0,69.0,71.0,69.0,64.0,55.0,44.0,32.0,20.0,9.0,2.0,0,0,0,0,0,0,0,0,0
84,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.0,14.0,26.0,38.0,51.0,61.0,69.0,75.0,76.0,75.0,69.0,61.0,51.0,38.0,26.0,14.0,5.0,0.0,0,0,0,0,0,0
84,84,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,8.0,19.0,31.0,44.0,56.0,67.0,75.0,80.0,82.0,80.0,75.0,67.0,56.0,44.0,31.0,19.0,8.0,2.0,0,0,0,0,0,0
84,84,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,8.0,18.0,31.0,44.0,56.0,67.0,75.0,80.0,82.0,80.0,75.0,67.0,56.0,44.0,31.0,18.0,8.0,1.0,0,0,0,0,0,0
84,84,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.0,14.0,26.0,39.0,54.0,69.0,82.0,94.0,104.0,112.0,117.0,118.0,117.0,112.0,104.0,94.0,82.0,69.0,54.0,39.0,26.0,14.0,5.0,0.0,0,0,0,0,0,0,0
84,84,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,11.0,14.0,11.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,84,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,7.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.0,12.0,21.0,29.0,36.0,40.0,41.0,40.0,36.0,29.0,21.0,12.0,5.0,0.0,0,0,0,0,0,0,0
137,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.0,11.0,20.0,28.0,34.0,39.0,40.0,39.0,34.0,28.0,20.0,11.0,4.0,0.0,0,0,0,0,0,0
137,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,9.0,18.0,27.0,35.0,42.0,46.0,47.0,46.0,42.0,35.0,27.0,18.0,9.0,3.0,0.0,0,0,0,0,0,0
137,37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.0,10.0,19.0,28.0,37.0,43.0,47.0,49.0,47.0,43.0,37.0,28.0,19.0,10.0,4.0,0.0,0,0,0,0,0,0
137,37,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.0,11.0,21.0,31.0,40.0,49.0,55.0,59.0,61.0,59.0,55.0,49.0,40.0,31.0,21.0,11.0,4.0,0.0,0,0,0,0,0,0,0
137,37,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,5.0,7.0,5.0,1.0,0,0,0,0,0,0,0,0,0
137,37,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,4.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,7.0,15.0,24.0,31.0,35.0,37.0,35.0,31.0,24.0,15.0,7.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.0,11.0,19.0,27.0,35.0,41.0,45.0,46.0,45.0,41.0,35.0,27.0,19.0,11.0,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,139,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.0,10.0,18.0,27.0,35.0,42.0,48.0,51.0,52.0,51.0,48.0,42.0,35.0,27.0,18.0,10.0,4.0,0.0,0,0,0,0,0,0
139,139,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,6.0,13.0,21.0,30.0,38.0,45.0,50.0,54.0,55.0,54.0,50.0,45.0,38.0,30.0,21.0,13.0,6.0,1.0,0,0,0,0,0,0,0,0,0
