link_id,06:00:00,06:05:00,06:10:00,06:15:00,06:20:00,06:25:00,06:30:00,06:35:00,06:40:00,06:45:00,06:50:00,06:55:00,07:00:00,07:05:00,07:10:00,07:15:00,07:20:00,07:25:00,07:30:00,07:35:00,07:40:00,07:45:00,07:50:00,07:55:00,08:00:00,08:05:00,08:10:00,08:15:00,08:20:00,08:25:00,08:30:00,08:35:00,08:40:00,08:45:00,08:50:00,08:55:00,09:00:00,09:05:00,09:10:00,09:15:00,09:20:00,09:25:00,09:30:00,09:35:00,09:40:00,09:45:00,09:50:00,09:55:00,10:00:00
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,7.0,13.0,19.0,23.0,26.0,27.0,26.0,23.0,19.0,13.0,7.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,8.0,15.0,23.0,31.0,39.0,47.0,53.0,59.0,63.0,65.0,66.0,65.0,63.0,59.0,53.0,47.0,39.0,31.0,23.0,15.0,8.0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,1.0,8.0,20.0,36.0,55.0,77.0,100.0,123.0,145.0,167.0,187.0,205.0,220.0,232.0,241.0,246.0,248.0,246.0,241.0,232.0,220.0,205.0,187.0,167.0,145.0,123.0,100.0,77.0,55.0,36.0,20.0,8.0,1.0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0.0,1.0,5.0,9.0,15.0,22.0,29.0,36.0,44.0,51.0,58.0,64.0,69.0,74.0,78.0,81.0,82.0,83.0,82.0,81.0,78.0,74.0,69.0,64.0,58.0,51.0,44.0,36.0,29.0,22.0,15.0,9.0,5.0,1.0,0.0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,1.0,8.0,20.0,37.0,56.0,76.0,99.0,121.0,143.0,164.0,183.0,200.0,215.0,227.0,235.0,240.0,242.0,240.0,235.0,227.0,215.0,200.0,183.0,164.0,143.0,121.0,99.0,76.0,56.0,37.0,20.0,8.0,1.0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0.0,4.0,16.0,31.0,50.0,69.0,88.0,105.0,120.0,131.0,137.0,140.0,137.0,131.0,120.0,105.0,88.0,69.0,50.0,31.0,16.0,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,1.0,9.0,23.0,41.0,62.0,84.0,107.0,129.0,149.0,166.0,181.0,191.0,198.0,200.0,198.0,191.0,181.0,166.0,149.0,129.0,107.0,84.0,62.0,41.0,23.0,9.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,1.0,10.0,24.0,42.0,61.0,82.0,101.0,119.0,133.0,144.0,151.0,153.0,151.0,144.0,133.0,119.0,101.0,82.0,61.0,42.0,24.0,10.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
