link_id,06:00:00,06:05:00,06:10:00,06:15:00,06:20:00,06:25:00,06:30:00,06:35:00,06:40:00,06:45:00,06:50:00,06:55:00,07:00:00,07:05:00,07:10:00,07:15:00,07:20:00,07:25:00,07:30:00,07:35:00,07:40:00,07:45:00,07:50:00,07:55:00,08:00:00,08:05:00,08:10:00,08:15:00,08:20:00,08:25:00,08:30:00,08:35:00,08:40:00,08:45:00,08:50:00,08:55:00,09:00:00,09:05:00,09:10:00,09:15:00,09:20:00,09:25:00,09:30:00,09:35:00,09:40:00,09:45:00,09:50:00,09:55:00,10:00:00
11,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,1.0,6.0,15.0,25.0,34.0,42.0,48.0,49.0,48.0,42.0,34.0,25.0,15.0,6.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,1.0,6.0,14.0,22.0,29.0,36.0,40.0,41.0,40.0,36.0,29.0,22.0,14.0,6.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0.0,2.0,8.0,14.0,21.0,28.0,33.0,36.0,37.0,36.0,33.0,28.0,21.0,14.0,8.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0.0,2.0,4.0,5.0,7.0,9.0,10.0,10.0,10.0,9.0,7.0,5.0,4.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0.0,6.0,15.0,26.0,38.0,48.0,57.0,62.0,64.0,62.0,57.0,48.0,38.0,26.0,15.0,6.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,33.0,40.0,46.0,53.0,59.0,66.0,72.0,77.0,83.0,87.0,92.0,95.0,99.0,101.0,103.0,104.0,104.0,104.0,103.0,101.0,99.0,95.0,92.0,87.0,83.0,77.0,72.0,66.0,59.0,53.0,46.0,40.0,33.0,27.0,21.0,15.0,11.0,6.0,3.0,1.0,0.0,0,0,0,0,0,0,0,0
20,13.0,22.0,32.0,45.0,58.0,72.0,86.0,101.0,116.0,131.0,145.0,159.0,171.0,183.0,194.0,204.0,212.0,219.0,225.0,229.0,231.0,232.0,231.0,229.0,225.0,219.0,212.0,204.0,194.0,183.0,171.0,159.0,145.0,131.0,116.0,101.0,86.0,72.0,58.0,45.0,32.0,22.0,13.0,6.0,2.0,0.0,0,0,0
21,1.0,7.0,16.0,29.0,46.0,65.0,86.0,108.0,132.0,157.0,182.0,207.0,232.0,256.0,279.0,302.0,323.0,342.0,359.0,375.0,388.0,399.0,408.0,414.0,418.0,419.0,418.0,414.0,408.0,399.0,388.0,375.0,359.0,342.0,323.0,302.0,279.0,256.0,232.0,207.0,182.0,157.0,132.0,108.0,86.0,65.0,46.0,29.0,16.0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,11.0,26.0,45.0,66.0,86.0,105.0,120.0,132.0,140.0,142.0,140.0,132.0,120.0,105.0,86.0,66.0,45.0,26.0,11.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,7.0,16.0,27.0,39.0,51.0,63.0,73.0,82.0,89.0,93.0,94.0,93.0,89.0,82.0,73.0,63.0,51.0,39.0,27.0,16.0,7.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.0,17.0,33.0,52.0,72.0,91.0,109.0,123.0,134.0,141.0,144.0,141.0,134.0,123.0,109.0,91.0,72.0,52.0,33.0,17.0,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,1.0,5.0,12.0,20.0,30.0,40.0,49.0,58.0,66.0,73.0,78.0,81.0,82.0,81.0,78.0,73.0,66.0,58.0,49.0,40.0,30.0,20.0,12.0,5.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,2.0,10.0,20.0,33.0,47.0,62.0,77.0,90.0,102.0,111.0,118.0,123.0,124.0,123.0,118.0,111.0,102.0,90.0,77.0,62.0,47.0,33.0,20.0,10.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,2.0,10.0,25.0,45.0,67.0,91.0,115.0,138.0,159.0,177.0,192.0,203.0,210.0,212.0,210.0,203.0,192.0,177.0,159.0,138.0,115.0,91.0,67.0,45.0,25.0,10.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,3.0,12.0,26.0,44.0,63.0,84.0,103.0,122.0,138.0,152.0,162.0,168.0,170.0,168.0,162.0,152.0,138.0,122.0,103.0,84.0,63.0,44.0,26.0,12.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,15.0,30.0,47.0,64.0,81.0,95.0,106.0,112.0,115.0,112.0,106.0,95.0,81.0,64.0,47.0,30.0,15.0,4.0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
