link_id,demand,D/C,cd_speed,cd_travel_time,average_discharge_rate,cd_waiting_time,queue_demand,Gamma,Congestion_duration,t0,t3,t0',t3',Queue_max
1,1986.1222067450235,1.1758423461619418,49.48150166273978,0.14128812612945468,1682.090312180135,0.00871143017458137,1986.1222067450235,904.6766573341304,1.180746475003971,7.159626762498014,8.340373237501986,7.159626762498014,8.340373237501986,27.0
2,2079.8929578323064,1.2313573691476314,48.496495689048075,0.008190165111037045,1677.4444991248176,0.0006579681108759908,2079.8929578323064,56.0354614351703,1.239917600205229,7.2967078668973855,8.536625467102615,7.2967078668973855,8.536625467102615,2.0
3,3261.4022663004225,1.930845382807244,37.87087339204532,0.07974170523445916,1568.9983922157364,0.022474037730697845,3261.4022663004225,226.65085927111076,2.07865239536331,6.877340469318345,8.955992864681654,6.877340469318345,8.955992864681654,66.0
4,4065.793637598141,2.407068564868748,32.354210123855836,0.23189539612552437,1477.545706383919,0.08961614083715028,4065.793637598141,277.1346171599252,2.7517210601549422,6.540806136922529,9.292527197077472,6.540806136922529,9.292527197077472,248.0
5,4187.15140991154,2.4789159100307736,31.62341255330932,0.07547289205352495,1463.7956351327098,0.030212492764374058,4187.15140991154,79.2675403563584,2.8604754034069293,6.569762298296535,9.430237701703465,6.569762298296535,9.430237701703465,83.0
6,4086.6943062653495,2.4194423710718818,32.22660299401931,0.22513248853273327,1475.1721330187283,0.08754740369792899,4086.6943062653495,263.11730042340224,2.770316910679783,6.531508211660109,9.301825122339892,6.531508211660109,9.301825122339892,242.0
7,2946.9047432535476,1.744653665044012,40.3837759639265,0.19820353342267683,1603.210128862773,0.04641569668403586,2946.9047432535476,782.229100173452,1.8381275730486533,6.914269546475673,8.752397119524327,6.914269546475673,8.752397119524327,140.0
8,3481.0369788275043,2.060875546509856,36.2405883789113,0.22074147365816918,1544.2658557093766,0.06903719399969274,3481.0369788275043,495.4960261917665,2.2541694915791872,6.789581921210407,9.043751412789593,6.789581921210407,9.043751412789593,200.0
9,3064.8052956307665,1.814454235044293,39.41630243178428,0.20318756141219957,1590.6116966893057,0.0513106856607328,3064.8052956307665,710.5560889306772,1.9268092281792235,6.953262052910389,8.880071281089613,6.953262052910389,8.880071281089613,153.0
10,547.7786526922054,0.32430095890958405,66.1567995332674,0.08027567033875992,1457.5928796193323,0,0,0.0,0.0,7.916666667,7.916666667,7.416666667,8.416666667000001,0.0
11,1644.7906979232966,0.9737641252000532,53.23404173960008,0.06577562705322974,1688.9233975455952,0,0,0.0,0.0,7.0,7.0,6.5,7.5,0.0
12,999.178233332704,0.5915426926530007,60.86398254753571,0.14826953952531619,1626.9139042749016,0,0,0.0,0.0,6.75,6.75,6.25,7.25,0.0
13,1599.135454732713,0.9467348879831805,53.754391356987526,0.07995109769652967,1688.337122365833,0,0,0.0,0.0,6.75,6.75,6.25,7.25,0.0
14,2069.3791461681594,1.225132885612685,48.605908542430875,0.20016553665500977,1678.0136220356098,0.015665258286183065,2069.3791461681594,1363.7537047072697,1.23323143447297,6.216717615763515,7.4499490502364845,6.216717615763515,7.4499490502364845,49.0
15,2142.545224522897,1.2684493406323878,47.849936831762655,0.1407878267569249,1673.8186777187302,0.013036585367690867,2142.545224522897,975.3649762449256,1.28003424328076,6.19331621135962,7.4733504546403795,6.19331621135962,7.4733504546403795,41.0
16,2246.087265025107,1.3297492522979661,46.80197111215224,0.10615667592491546,1667.0172447582247,0.011939493960444025,2246.087265025107,724.7047815909732,1.347368944195216,6.159648860902392,7.5070178050976075,6.159648860902392,7.5070178050976075,37.0
17,2196.995576551581,1.3006855391207373,47.29562783915805,0.03055335907399859,1670.3606892878927,0.0031503273060436952,2196.995576551581,210.9946759099937,1.3152821367510767,6.759025598624462,8.07430773537554,6.759025598624462,8.07430773537554,10.0
18,2309.85917466316,1.367504085104013,46.169364277511804,0.1649457990633268,1662.3792218270316,0.02053029883866961,2309.85917466316,1098.7149015591417,1.3894899216344379,6.721921706182782,8.111411627817219,6.721921706182782,8.111411627817219,64.0
19,5388.928773425823,3.1904032041559534,25.54647338042273,0.08071186732099461,1334.531376413889,0.041610944646955965,5388.928773425823,25.062419352429743,4.038068245279317,5.314299210360341,9.352367455639659,5.314299210360341,9.352367455639659,104.0
20,5355.534621699357,3.1706328911405786,25.69051280856977,0.18033774870599495,1337.9119860204098,0.09248040428045406,5355.534621699357,57.83055539670867,4.002905032362613,5.748547483818694,9.751452516181306,5.748547483818694,9.751452516181306,232.0
21,5612.541639589459,3.322788550983507,24.61324109407731,0.319710822760906,1312.2389055661765,0.17048471929796571,5612.541639589459,80.22190097877146,4.277073035849277,5.944796815075362,10.221869850924639,5.944796815075362,10.221869850924639,419.0
22,2847.0461540044407,1.6855344640863212,41.22773859580069,0.2158080410674343,1613.5987025251661,0.04708445730965091,2847.0461540044407,940.7158568802253,1.7644078106588819,7.201129427670559,8.965537238329441,7.201129427670559,8.965537238329441,142.0
23,3093.1730760286346,1.83124878945044,39.18812721002896,0.12317891998586357,1587.5348230415213,0.03163920493523201,3093.1730760286346,418.2213741689973,1.94841274102101,7.025793629489495,8.974206370510505,7.025793629489495,8.974206370510505,94.0
24,2961.9081738831837,1.753536134114705,40.25893089376336,0.20217908402681697,1601.6254512722514,0.04782535806511032,2961.9081738831837,785.8830517198661,1.8493138776799478,6.992009728160026,8.841323605839975,6.992009728160026,8.841323605839975,144.0
25,3305.700882722031,1.9570714573599663,37.534039854448736,0.09693761028947036,1564.0492792516957,0.02793964637523126,3305.700882722031,262.7847136318364,2.113552895407242,6.776556885296379,8.890109780703622,6.776556885296379,8.890109780703622,82.0
26,3362.8430383673835,1.9909012821968264,37.105590749135125,0.14340747374097607,1557.6324441347836,0.04249849967932591,3362.8430383673835,365.63972997330086,2.1589451677320053,6.920527416133997,9.079472583866004,6.920527416133997,9.079472583866004,124.0
27,3498.0741515819686,2.0709620503088373,36.1182210818044,0.23275566540111603,1542.3308039456201,0.07333476126061336,3498.0741515819686,512.9354864270258,2.2680440166487816,6.699311324675609,8.96735534132439,6.699311324675609,8.96735534132439,212.0
28,3331.6892111270367,1.9724573067003497,37.33834148134555,0.19884665484430727,1561.135171678618,0.05805011960248907,3331.6892111270367,524.2385774959128,2.1341452499238884,6.766260708038056,8.900405957961944,6.766260708038056,8.900405957961944,170.0
29,2709.2278722059177,1.6039420166207827,42.4302820573171,0.19225713411427195,1627.4062728398553,0.03756186295238664,2709.2278722059177,955.0501087998265,1.6647520151672162,7.667623992416392,9.332376007583608,7.667623992416392,9.332376007583608,115.0
30,1534.154829602801,0.9082644603084175,54.50170493033869,0.1314557073243374,1686.7524652882996,0,0,0.0,0.0,8.583333333,8.583333333,8.083333333,9.083333333,0.0
31,1536.8252957784903,0.9098454542687612,54.47084352430756,0.04653260572087351,1686.8358606826102,0,0,0.0,0.0,7.833333333,7.833333333,7.333333333,8.333333332999999,0.0
32,1464.689503669565,0.8671389587935319,55.30875430585259,0.13952555491171884,1683.9964098055993,0,0,0.0,0.0,7.916666667,7.916666667,7.416666667,8.416666667000001,0.0
